id_message,message,posted_on,id_disc,id_user
1,"Les notaires de certaines régions de France, comme la Côte d'Azur, mentent sur la taille en m2 des villas (sous-estiment d'un facteur 2 à 5 normalement), et omettent de déclarer les ventes à des prix inférieurs, pour manipuler faussement la moyenne des m2. prix. Quel recours existe-t-il pour arrêter cela ?",2023-10-30 14:24:01,1,1
2,"Bonjour,

Suite à l'intégration des données DVF+ sur la Métropole Aix-Marseille-Provence, nous avons remarqué une mutation en 2021 totalement aberrante avec un ""prix ou évaluation déclarée dans le cadre d'une mutation onéreuse"" égale à : 14 149 999 600 € (Identifiant invariant de la mutation  : e9b6b8b1c416aac504cabe43818a4445).

De notre coté nous allons ignorer cette valeur, mais afin que celle-ci ne soit pas répercutée sur les prochains millésimes, comment signaler et faire remonter cette erreur ?

Pour info, cette erreur n'était pas présente dans le millésime d'avril 2022.

Cordialement",2023-10-30 13:50:42,2,2
3,"Il s'agit, en effet, d'une anomalie. Le service concerné a été saisi pour correction.",2023-10-30 14:50:25,2,2
4,Discussion close,2023-10-30 14:51:02,2,2
5,"Bonjour,
Un grand merci pour la mise à disposition facilitée de toutes ces données.
Pour des besoins d'étude et d'évaluation des politiques publiques, je me demande s'il est possible d'identifier les ventes réalisées sous contrat de ventes d'immeubles à rénover (VIR) ?
Je parviens bien à identifier les ventes issues de VEFA, mais pas les VIR.
Avez-vous une méthode particulière à proposer pour y parvenir ?",2023-10-19 15:10:32,3,3
6,"Bonjour,
la dernière mise à jour indique le 10 octobre 2023 mais quand je consulte les données elles s'arrêtent au 31/12/2022 (pour le département du Lot, mais peut-être également pour d'autres départements).
Comment puis-je être averti quand les données du Lot seront mises à jour ?
Merci",2023-10-11 19:33:28,4,4
7,"Bonjour,
Le premier fichier ""Valeur foncière 2023 - Premier semestre"" a été mis à jour dernièrement. Il contient l'ensemble des données de cette période, dont celles du Lot.",2023-10-12 05:57:56,4,4
8,"Bonjour,
merci pour ce retour
En fait c'est l'application DVF qui n'est pas à jour, elle indique une date de fin au 31/12/2022
Cordialement",2023-10-12 06:36:29,4,4
9,"Sur cette page, ne sont gérées que les données DVF. L'application DVF est gérée par Etalab. 
Concernant le site https://app.dvf.etalab.gouv.fr/, nous vous invitons à contacter directement le service qui réutilise les données publiées par la DGFiP en vous adressant à dvf@data.gouv.fr.",2023-10-12 06:38:10,4,4
10,"Bonjour,
merci pour votre réponse, j'ai pris contact avec le service Etalab (l'application DVF devrait être à jour courant de la semaine à venir).
Par contre il me reste une question : dans les fichiers je ne trouve pas trace de deux ventes qui ont eu lieu dans le voisinage, la plus récente ayant été signée au deuxième semestre 2022, l'autre date de 3 voire 4 ans. Y a-t-il des ""trous dans la raquette"" ? Y a-t-il des rattrapages effectués après publication initiale des fichiers ?
Merci par avance.
Cordialement",2023-10-15 06:44:53,4,4
11,"Bonjour, plusieurs parcelles correspondant au bien ci-dessous affiche ""nan"" (not a number) en place du prix de vente du bien. Pourriez-vous corriger cette erreur?

Extrait d'information du bien correspondant:
""2022-85055;""""2022-01-14"""";""""1"""";""""Vente"""";""""nan"""";""""5306.0"""";""""A"""";""""SAINT PIERRE ET VIARARD"""";""""B071"""";""""26470"""";""""26215"""";""""La Motte-Chalancon"""";""""26"""";""""None"""";""""None"""";""""262150000E0833"""";""""None"""";""""None"""";""""None"""";""""None"""";""""None"""";""""None"""";""""None"""";""""None"""";""""None"""";""""None"""";""""None"""";""""None"""";""""0"""";""""2"""";""""Appartement"""";""""20.0"""";""""1.0"""";""""S"""";""""sols"""";""""None"""";""""None"""";""""16012.0"""";""""5.372407"""";""""44.474199"""";""""0000E""""""",2023-04-17 11:35:19,5,5
12,"Bonjour, 

Toutes les URLs d'exemples renvoient vers un 502 bad gateway

http://api.cquest.org/dvf?code_commune=94068
 
",2023-03-27 15:11:44,6,6
